STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,5/3/1990,0,0,0,69,42
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,5/4/1990,0.28,0,0,65,40
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,5/5/1990,0.04,0,0,63,39
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,5/6/1990,0,0,0,80,45
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,5/7/1990,0,0,0,78,50
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,5/8/1990,0,0,0,57,33
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,5/9/1990,0.06,0,0,51,28
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,5/10/1990,0,0,0,58,27
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,5/11/1990,0,0,0,64,39
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,5/12/1990,0,0,0,64,34
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,5/13/1990,0,0,0,60,40
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,5/14/1990,0,0,0,63,37
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,5/15/1990,0.07,0,0,63,47
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,5/16/1990,0,0,0,62,43
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,5/17/1990,0,0,0,67,32
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,5/18/1990,0,0,0,67,41
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,5/19/1990,0,0,0,64,43
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,5/20/1990,0.31,0,0,64,44
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,5/21/1990,0,0,0,72,45
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,5/22/1990,0,0,0,78,51
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,5/23/1990,0,0,0,79,46
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,5/24/1990,0.46,0,0,71,56
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,5/25/1990,0.15,0,0,69,55
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,5/26/1990,0,0,0,70,45
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,5/27/1990,0.12,0,0,69,49
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,5/28/1990,0,0,0,72,47
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,5/29/1990,0,0,0,69,54
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,5/30/1990,0.05,0,0,69,53
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,5/31/1990,0,0,0,80,53
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,6/1/1990,0,0,0,80,57
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,6/2/1990,0.18,0,0,74,42
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,6/3/1990,0,0,0,76,40
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,6/4/1990,0,0,0,79,40
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,6/5/1990,0.21,0,0,78,47
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,6/6/1990,0,0,0,76,47
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,6/7/1990,0.09,0,0,75,55
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,6/8/1990,0,0,0,74,48
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,6/9/1990,0,0,0,88,48
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,6/10/1990,0,0,0,88,62
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,6/11/1990,0,0,0,85,63
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,6/12/1990,0,0,0,77,49
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,6/13/1990,0,0,0,77,49
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,6/14/1990,0,0,0,73,49
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,6/15/1990,0.17,0,0,64,50
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,6/16/1990,0.58,0,0,60,53
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,6/17/1990,0,0,0,77,51
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,6/18/1990,0,0,0,87,54
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,6/19/1990,0,0,0,85,52
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,6/20/1990,0,0,0,77,49
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,6/21/1990,0.13,0,0,74,52
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,6/22/1990,0,0,0,76,49
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,6/23/1990,0,0,0,85,52
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,6/24/1990,0,0,0,92,54
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,6/25/1990,0,0,0,92,66
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,6/26/1990,0,0,0,99,68
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,6/27/1990,0,0,0,100,71
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,6/28/1990,0.23,0,0,94,60
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,6/29/1990,0.23,0,0,87,63
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,6/30/1990,0,0,0,91,62
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,7/1/1990,0,0,0,92,75
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,7/2/1990,0,0,0,102,71
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,7/3/1990,0,0,0,101,66
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,7/4/1990,0,0,0,85,54
